origin_h3,destination_h3,origin_lng,origin_lat,destination_lng,destination_lat,hour_of_day,is_rush_hour,day_of_week,is_weekend,is_holiday,haversine_distance_meters,baseline_distance_meters,traffic_level,is_raining,rain_level,weather_condition,baseline_eta_secs,actual_eta_secs,residual_secs
89414369617ffff,8941436945bffff,105.7787,21.0282,105.783,21.0167,11,false,Wed,false,false,1354.4,1580.5,low,true,very_heavy,storm,138,827,689
89415cb4d5bffff,89415ca7123ffff,105.8249,21.0049,105.8012,21.1188,17,true,Sun,true,false,12901.7,21570.2,high,true,moderate,rain,4419,5473,1054
89415cb4cd7ffff,89415cb4987ffff,105.846,20.998,105.7991,21.0055,21,false,Sun,true,false,4939.5,6433.1,high,false,none,cloudy,937,1082,145
89415cb4e3bffff,89415cb4987ffff,105.8417,21.0247,105.7991,21.0055,20,false,Thu,false,false,4910.3,6476.4,medium,false,none,cloudy,778,665,-113
89415cb684bffff,89415cb4ba3ffff,105.8558,20.9732,105.8005,21.0288,18,true,Mon,false,false,8436.7,14916.3,high,false,none,clear,3042,3691,649
894143682c3ffff,89415cb4ba3ffff,105.7356,20.999,105.8005,21.0288,18,true,Mon,false,true,7507.5,8510.3,low,false,none,clear,624,1503,879
89415cb4d5bffff,89415cb4e43ffff,105.8249,21.0049,105.8522,21.0286,11,false,Sun,true,false,3869.7,4564.3,high,false,none,cloudy,1110,1467,357
89415cb4987ffff,89415cb4e3bffff,105.7991,21.0055,105.8417,21.0247,17,true,Thu,false,false,4910.3,6009.1,high,true,light,rain,906,1619,713
89414369647ffff,89415cb4987ffff,105.7818,21.0379,105.7991,21.0055,22,false,Fri,false,false,4025.4,4374,high,false,none,cloudy,811,1037,226
89414368657ffff,89414369647ffff,105.747,20.9881,105.7818,21.0379,14,false,Fri,false,false,6611.5,11416.1,low,false,none,clear,953,689,-264
89414369647ffff,89415cb684bffff,105.7828,21.0367,105.8558,20.9732,12,false,Wed,false,false,10357.6,12580.9,high,false,none,clear,1847,2100,253
89415cb4e3bffff,89415cb5db3ffff,105.8417,21.0247,105.851,21.0359,22,false,Wed,false,false,1575.6,2185.6,medium,false,none,clear,249,392,143
89415cb46afffff,89414368657ffff,105.9035,21.0109,105.747,20.9881,10,false,Thu,false,true,16442.9,28472.7,medium,true,moderate,rain,3865,4686,821
89414369617ffff,89414369647ffff,105.7787,21.0282,105.7818,21.0379,15,false,Tue,false,false,1125.6,1355,medium,false,none,clear,156,282,126
89414369647ffff,89415cb46afffff,105.7828,21.0367,105.9035,21.0109,17,true,Sat,true,false,12852.1,14682.6,high,false,none,clear,2213,2939,726
89414369647ffff,89414368657ffff,105.7828,21.0367,105.747,20.9881,20,false,Fri,false,false,6558.4,10317,high,false,none,cloudy,1544,1973,429
89415cb4e43ffff,89415cb4b97ffff,105.8522,21.0286,105.8067,21.0238,17,true,Wed,false,false,4752.6,5232.7,high,false,none,clear,818,1277,459
89414369647ffff,89415cb4cd7ffff,105.7828,21.0367,105.846,20.998,23,false,Sat,true,false,7845.5,11135.5,medium,false,none,clear,1125,1097,-28
89415cb46afffff,89415cb5dc7ffff,105.9035,21.0109,105.8598,21.0422,10,false,Tue,false,false,5717.1,7886,high,true,light,rain,1461,2154,693
89415cb4ba3ffff,89415ca7123ffff,105.8005,21.0288,105.8012,21.1188,6,false,Wed,false,false,10007.8,13476,low,false,none,cloudy,1162,1189,27
89415cb4a47ffff,89415cb4d5bffff,105.833,21.046,105.8249,21.0049,18,true,Fri,false,false,4646.8,6269.2,severe,false,none,clear,1616,2939,1323
89415cb4cd7ffff,89414368657ffff,105.846,20.998,105.747,20.9881,21,false,Wed,false,false,10336.4,16931.2,low,false,none,clear,1220,987,-233
89415cb5db3ffff,89415cb4987ffff,105.851,21.0359,105.7991,21.0055,14,false,Thu,false,false,6359.7,10260.5,low,false,none,clear,828,753,-75
89415cb4e43ffff,89415cb4987ffff,105.8522,21.0286,105.7991,21.0055,8,true,Fri,false,false,6080.8,6816.1,severe,false,none,clear,3004,4224,1220
89415cb4e43ffff,89414369647ffff,105.8522,21.0286,105.7818,21.0379,11,false,Wed,false,false,7379.4,11318.3,low,false,none,clear,847,939,92
89415cb4d47ffff,894143682c3ffff,105.8175,21.0023,105.7356,20.999,17,true,Tue,false,false,8509.9,13740.2,severe,false,none,clear,4472,5183,711
89415cb4d5bffff,89415cb5db3ffff,105.8249,21.0049,105.851,21.0359,15,false,Wed,false,false,4384.2,5017.1,low,false,none,cloudy,415,577,162
89415cb4b0fffff,89415cb4a47ffff,105.8037,21.0372,105.833,21.046,18,true,Fri,false,false,3194.3,4366.6,high,false,none,cloudy,695,1539,844
89415cb4cd7ffff,89415cb4bc3ffff,105.846,20.998,105.814,21.0335,13,false,Mon,false,false,5159,6742.2,medium,false,none,cloudy,678,632,-46
89415cb4b0fffff,89415cb4d47ffff,105.8037,21.0372,105.8175,21.0023,22,false,Tue,false,false,4136.6,4788.5,low,false,none,clear,433,318,-115
89415cb687bffff,89415cb5dc7ffff,105.8467,20.9719,105.8598,21.0422,14,false,Sun,true,false,7934.4,10477.6,low,false,none,cloudy,784,586,-198
89415cb4ba3ffff,89414369617ffff,105.8005,21.0288,105.7787,21.0282,17,true,Fri,false,false,2263.6,3108.7,severe,true,heavy,storm,996,2696,1700
89415cb4cd7ffff,89415cb49afffff,105.846,20.998,105.7898,21.0093,15,false,Mon,false,false,5967.7,10678.8,low,false,none,cloudy,779,790,11
89415cb5db3ffff,89414369617ffff,105.851,21.0359,105.7787,21.0282,5,false,Sun,true,false,7552.5,12073,low,true,light,rain,985,1137,152
89415ca7123ffff,89415cb4d47ffff,105.8012,21.1188,105.8175,21.0023,18,true,Fri,false,false,13064.2,22372.2,medium,false,none,fog,2246,2609,363
89415ca640bffff,89415cb5db3ffff,105.8127,21.0592,105.851,21.0359,12,false,Sat,true,false,4744.5,5896.4,medium,true,heavy,storm,704,1346,642
89414368657ffff,89415cb4cd7ffff,105.747,20.9881,105.846,20.998,18,true,Wed,false,false,10336.4,11664.2,medium,false,none,cloudy,1610,1951,341
89415cb4e43ffff,894143682c3ffff,105.8522,21.0286,105.7356,20.999,7,true,Sat,true,true,12542.6,18433.5,high,false,none,clear,3112,3672,560
89414369647ffff,89415ca7123ffff,105.7818,21.0379,105.8012,21.1188,9,false,Sat,true,false,9218.1,11395.1,medium,false,none,cloudy,1609,1631,22
89415cb4d5bffff,89414368657ffff,105.8249,21.0049,105.747,20.9881,11,false,Sat,true,false,8299.9,13839.8,high,false,none,clear,2445,3031,586
89415cb4193ffff,89415cb4e3bffff,105.868,20.9946,105.8417,21.0247,13,false,Tue,false,false,4319.2,5323.7,severe,false,none,cloudy,1450,2680,1230
89414369647ffff,89415cb4d5bffff,105.7828,21.0367,105.8249,21.0049,6,false,Wed,false,false,5621.2,6297.3,high,false,none,cloudy,1188,1718,530
89414369647ffff,89415cb5db3ffff,105.7828,21.0367,105.851,21.0359,20,false,Sun,true,false,7078.6,11591.6,low,false,none,cloudy,1156,762,-394
89415cb4e3bffff,8941436945bffff,105.8417,21.0247,105.783,21.0167,15,false,Tue,false,false,6157.4,7446.4,medium,false,none,fog,745,812,67
89415ca7123ffff,89415cb4ba3ffff,105.8012,21.1188,105.8005,21.0288,22,false,Wed,false,false,10007.8,12564.4,low,true,very_heavy,storm,1236,1871,635
89415cb4ba3ffff,89414368657ffff,105.8005,21.0288,105.747,20.9881,7,true,Fri,false,false,7164,11051.3,severe,true,moderate,rain,3672,5472,1800
89414369647ffff,89415cb4987ffff,105.7828,21.0367,105.7991,21.0055,10,false,Sun,true,false,3859.8,4731.7,high,false,none,cloudy,1092,1433,341
894143682c3ffff,89415cb4a47ffff,105.7356,20.999,105.833,21.046,13,false,Mon,false,false,11380.5,14701.8,low,false,none,fog,1431,1041,-390
89415cb4b0fffff,89415cb4bc3ffff,105.8037,21.0372,105.814,21.0335,18,true,Wed,false,false,1145.4,1295.5,severe,false,none,clear,516,1619,1103
89415ca7123ffff,89415cb4bc3ffff,105.8012,21.1188,105.814,21.0335,9,false,Sun,true,false,9577.5,11198,high,false,none,clear,1792,2175,383
89414369617ffff,894143682c3ffff,105.7787,21.0282,105.7356,20.999,4,false,Thu,false,false,5527.8,7137.9,medium,false,none,cloudy,864,988,124
89415cb4d47ffff,89414369647ffff,105.8175,21.0023,105.7828,21.0367,7,true,Sun,true,false,5253.9,6987.7,medium,true,moderate,rain,984,1406,422
89415cb4ba3ffff,89415cb5dc7ffff,105.8005,21.0288,105.8598,21.0422,8,true,Sat,true,false,6332.2,9864,high,false,none,clear,1473,2044,571
89415cb4bc3ffff,8941436945bffff,105.814,21.0335,105.783,21.0167,14,false,Tue,false,false,3720.5,4412.4,medium,false,none,cloudy,580,633,53
89415ca7123ffff,89415cb4d5bffff,105.8012,21.1188,105.8249,21.0049,15,false,Wed,false,false,12901.7,18994.2,medium,true,moderate,rain,2106,2375,269
89414369647ffff,89415cb4a47ffff,105.7818,21.0379,105.833,21.046,18,true,Tue,false,false,5389.3,7965.3,high,true,heavy,storm,1321,2436,1115
89415cb4bc3ffff,89415cb5dc7ffff,105.814,21.0335,105.8598,21.0422,6,false,Sat,true,true,4850.7,5680.6,low,false,none,cloudy,547,378,-169
89415cb4bc3ffff,89414368657ffff,105.814,21.0335,105.747,20.9881,20,false,Sat,true,false,8593.8,11070.6,high,false,none,cloudy,1817,2302,485
89415cb4b0fffff,89415cb687bffff,105.8037,21.0372,105.8467,20.9719,13,false,Thu,false,false,8523.3,15230.6,medium,true,light,rain,1855,2188,333
89415cb4193ffff,89415cb687bffff,105.868,20.9946,105.8467,20.9719,8,true,Tue,false,false,3355.8,4101.1,high,false,none,cloudy,717,1245,528
89414369647ffff,89414369617ffff,105.7818,21.0379,105.7787,21.0282,12,false,Wed,false,false,1125.6,1317.2,low,false,none,clear,120,60,-60
89415cb4cd7ffff,89415cb4a47ffff,105.846,20.998,105.833,21.046,19,true,Thu,false,false,5505.3,9811.2,severe,true,very_heavy,rain,4217,5955,1738
89415cb46afffff,89415cb4b97ffff,105.9035,21.0109,105.8067,21.0238,18,true,Fri,false,false,10149.5,14187.1,medium,false,none,clear,1668,2253,585
89415cb4b0fffff,89415cb4e43ffff,105.8037,21.0372,105.8522,21.0286,12,false,Fri,false,false,5123.7,8148.3,medium,false,none,fog,965,801,-164
89415cb4e3bffff,89415ca640bffff,105.8417,21.0247,105.8127,21.0592,11,false,Tue,false,false,4875.9,6017.9,low,true,moderate,rain,473,781,308
89414368657ffff,89414369647ffff,105.747,20.9881,105.7828,21.0367,10,false,Wed,false,false,6558.4,11112.6,medium,false,none,fog,1242,1385,143
89415cb5dc7ffff,89415cb5db3ffff,105.8598,21.0422,105.851,21.0359,16,false,Sun,true,false,1151,1266.4,low,false,none,clear,123,60,-63
89415cb5db3ffff,89415cb4193ffff,105.851,21.0359,105.868,20.9946,17,true,Mon,false,true,4919.7,5460.6,high,false,none,cloudy,969,1979,1010
89415cb4e43ffff,89415cb4e3bffff,105.8522,21.0286,105.8417,21.0247,15,false,Tue,false,false,1172.9,1276.5,medium,false,none,clear,177,259,82
89415cb5db3ffff,89415cb4d5bffff,105.851,21.0359,105.8249,21.0049,17,true,Sun,true,false,4384.2,5113.6,high,false,none,cloudy,825,1387,562
89414368657ffff,89415cb684bffff,105.747,20.9881,105.8558,20.9732,8,true,Thu,false,false,11416.8,13483,high,true,moderate,rain,2115,3469,1354
89415cb4193ffff,89414369617ffff,105.868,20.9946,105.7787,21.0282,8,true,Fri,false,false,9994.1,12054.9,severe,false,none,fog,5761,6265,504
89414369647ffff,89415cb46afffff,105.7818,21.0379,105.9035,21.0109,17,true,Fri,false,false,12983.4,21143.2,severe,true,heavy,storm,6928,8700,1772
89415ca7123ffff,89415ca640bffff,105.8012,21.1188,105.8127,21.0592,8,true,Fri,false,false,6733.8,9478.6,severe,false,none,cloudy,3078,4319,1241
89415cb49afffff,894143682c3ffff,105.7898,21.0093,105.7356,20.999,12,false,Sun,true,false,5741.7,8476.4,low,false,none,clear,646,499,-147
89415cb4e43ffff,89415cb4ba3ffff,105.8522,21.0286,105.8005,21.0288,19,true,Wed,false,false,5366,6171.7,medium,false,none,clear,699,774,75
89415cb4987ffff,89415cb49afffff,105.7991,21.0055,105.7898,21.0093,22,false,Sat,true,false,1053.8,1217.3,low,false,none,clear,120,120,0
89415cb4987ffff,89415cb4a47ffff,105.7991,21.0055,105.833,21.046,12,false,Tue,false,false,5714.9,7861.8,low,false,none,clear,743,773,30
89415cb5dc7ffff,89415cb684bffff,105.8598,21.0422,105.8558,20.9732,6,false,Sun,true,false,7683.7,13708.3,medium,false,none,cloudy,1475,1541,66
89415cb4e43ffff,89415cb5dc7ffff,105.8522,21.0286,105.8598,21.0422,16,false,Wed,false,false,1705.6,2122.3,high,false,none,cloudy,513,1178,665
89415ca7123ffff,89415cb4b97ffff,105.8012,21.1188,105.8067,21.0238,19,true,Fri,false,false,10578.9,17259,severe,true,moderate,rain,6418,8109,1691
89415cb5db3ffff,89414368657ffff,105.851,21.0359,105.747,20.9881,16,false,Sat,true,false,12032.8,16031.8,low,false,none,cloudy,1339,1085,-254
89415ca7123ffff,89415cb687bffff,105.8012,21.1188,105.8467,20.9719,7,true,Fri,false,false,17003.3,19721.3,severe,false,none,clear,5934,7216,1282
89415ca7123ffff,89414369617ffff,105.8012,21.1188,105.7787,21.0282,9,false,Tue,false,false,10341.2,12135.3,medium,false,none,clear,1648,1567,-81
89415cb4b0fffff,89415cb4e43ffff,105.8037,21.0372,105.8522,21.0286,8,true,Mon,false,false,5123.7,9128.1,severe,false,none,clear,3382,4153,771
89415cb5dc7ffff,89415cb4ba3ffff,105.8598,21.0422,105.8005,21.0288,13,false,Sat,true,false,6332.2,9407.4,low,true,heavy,storm,928,1424,496
89414369617ffff,89415cb4ba3ffff,105.7787,21.0282,105.8005,21.0288,11,false,Fri,false,true,2263.6,2621.5,high,false,none,cloudy,523,1116,593
89415cb684bffff,89415cb4cd7ffff,105.8558,20.9732,105.846,20.998,8,true,Thu,false,false,2939.3,3824.6,high,true,light,rain,610,1629,1019
89415cb4a47ffff,89415cb5dc7ffff,105.833,21.046,105.8598,21.0422,20,false,Sun,true,false,2813.2,3694.9,severe,false,none,clear,1250,1504,254
89415ca640bffff,8941436945bffff,105.8127,21.0592,105.783,21.0167,16,false,Fri,false,false,5642.2,6484.2,medium,false,none,clear,677,569,-108
89415cb5db3ffff,89414369647ffff,105.851,21.0359,105.7818,21.0379,17,true,Sat,true,false,7185.3,8215.9,medium,false,none,cloudy,1110,1240,130
89415cb4cd7ffff,89415cb4bc3ffff,105.846,20.998,105.814,21.0335,7,true,Fri,false,false,5159,5760.9,high,false,none,cloudy,960,1630,670
89414369647ffff,89415cb4b0fffff,105.7818,21.0379,105.8037,21.0372,22,false,Sat,true,false,2274.2,2684.4,low,true,moderate,rain,261,238,-23
89415cb4b97ffff,89415cb4d47ffff,105.8067,21.0238,105.8175,21.0023,22,false,Fri,false,false,2640.5,3693.3,low,false,none,cloudy,264,60,-204
8941436945bffff,89415cb4987ffff,105.783,21.0167,105.7991,21.0055,14,false,Tue,false,false,2084.2,2526.4,high,false,none,clear,435,827,392
89415cb684bffff,89414368657ffff,105.8558,20.9732,105.747,20.9881,12,false,Fri,false,false,11416.8,14392.8,medium,false,none,cloudy,1815,1811,-4
89415cb4d5bffff,89415cb4987ffff,105.8249,21.0049,105.7991,21.0055,17,true,Sun,true,false,2679,3519.7,medium,false,none,clear,379,570,191
89415cb4d5bffff,89415cb46afffff,105.8249,21.0049,105.9035,21.0109,8,true,Mon,false,false,8186.2,11086.2,high,true,light,rain,1786,2493,707
89415cb4b0fffff,89415cb5db3ffff,105.8037,21.0372,105.851,21.0359,18,true,Tue,false,false,4911.1,6274,medium,true,light,rain,727,1318,591
89415cb5dc7ffff,89415cb4987ffff,105.8598,21.0422,105.7991,21.0055,7,true,Thu,false,false,7506.4,11587.7,severe,false,none,clear,3516,5004,1488
894143682c3ffff,89415cb4a47ffff,105.7356,20.999,105.833,21.046,1,false,Mon,false,false,11380.5,20154.9,high,false,none,cloudy,3062,3680,618
89415cb684bffff,89415cb4d47ffff,105.8558,20.9732,105.8175,21.0023,9,false,Mon,false,false,5126.5,7354.9,low,false,none,clear,559,361,-198
89414368657ffff,89415cb4a47ffff,105.747,20.9881,105.833,21.046,17,true,Fri,false,false,11006.1,18489.6,severe,false,none,fog,5878,6928,1050
89414369647ffff,89414368657ffff,105.7828,21.0367,105.747,20.9881,11,false,Mon,false,true,6558.4,11041.8,medium,false,none,fog,1167,1093,-74
89415cb4d47ffff,89415cb5dc7ffff,105.8175,21.0023,105.8598,21.0422,15,false,Sun,true,false,6241.8,10831.6,low,false,none,clear,783,565,-218
89415cb46afffff,89415cb4193ffff,105.9035,21.0109,105.868,20.9946,11,false,Sat,true,false,4106.8,4610.3,low,false,none,clear,346,257,-89
89415cb684bffff,89415cb4cd7ffff,105.8558,20.9732,105.846,20.998,8,true,Mon,false,false,2939.3,3392.9,high,false,none,clear,519,1205,686
89415cb4987ffff,89415ca640bffff,105.7991,21.0055,105.8127,21.0592,11,false,Sun,true,false,6135.7,10985.5,low,true,light,rain,886,1155,269
89414368657ffff,89415cb4ba3ffff,105.747,20.9881,105.8005,21.0288,18,true,Tue,false,false,7164,9830.6,severe,false,none,clear,3046,4106,1060
89415cb4ba3ffff,89415cb684bffff,105.8005,21.0288,105.8558,20.9732,9,false,Sat,true,false,8436.7,9400.6,high,false,none,clear,1850,2534,684
89415cb684bffff,8941436945bffff,105.8558,20.9732,105.783,21.0167,6,false,Sat,true,false,8972.9,13435.4,low,false,none,clear,1245,1166,-79
89414368657ffff,89415cb684bffff,105.747,20.9881,105.8558,20.9732,22,false,Fri,false,false,11416.8,19280.9,high,true,light,rain,2817,3227,410
89415cb4ba3ffff,8941436945bffff,105.8005,21.0288,105.783,21.0167,17,true,Mon,false,false,2260.4,2890.2,high,false,none,cloudy,446,1191,745
89415cb687bffff,89415cb49afffff,105.8467,20.9719,105.7898,21.0093,9,false,Sun,true,false,7224.2,8617,severe,false,none,clear,3028,3869,841
89414369647ffff,89415cb4a47ffff,105.7828,21.0367,105.833,21.046,15,false,Wed,false,false,5311.4,7173.2,high,true,very_heavy,storm,1428,2975,1547
894143682c3ffff,89415cb4e43ffff,105.7356,20.999,105.8522,21.0286,11,false,Sun,true,false,12542.6,13955.9,low,false,none,cloudy,1387,988,-399
89415cb4193ffff,89415cb5dc7ffff,105.868,20.9946,105.8598,21.0422,9,false,Sat,true,false,5360.9,8144.2,medium,false,none,fog,963,1121,158
89415ca7123ffff,89415cb4cd7ffff,105.8012,21.1188,105.846,20.998,12,false,Thu,false,false,14214.1,15886,medium,false,none,cloudy,1655,1760,105
89415ca7123ffff,89415cb4b0fffff,105.8012,21.1188,105.8037,21.0372,13,false,Sat,true,false,9077.2,12821.6,low,true,moderate,rain,1063,1154,91
8941436945bffff,89415cb4b97ffff,105.783,21.0167,105.8067,21.0238,7,true,Fri,false,true,2583.5,2902.8,high,false,none,cloudy,525,1496,971
89415cb4987ffff,89415ca7123ffff,105.7991,21.0055,105.8012,21.1188,21,false,Wed,false,false,12600.3,19021,medium,false,none,clear,1918,2014,96
89415cb49afffff,89415ca640bffff,105.7898,21.0093,105.8127,21.0592,18,true,Sun,true,false,6036.2,7630.9,medium,false,none,clear,842,1246,404
89415cb5dc7ffff,89415cb5db3ffff,105.8598,21.0422,105.851,21.0359,13,false,Wed,false,false,1151,1286.2,low,false,none,clear,127,60,-67
89415cb4e43ffff,8941436945bffff,105.8522,21.0286,105.783,21.0167,18,true,Mon,false,false,7303.4,10373.3,severe,false,none,clear,2989,4260,1271
89415cb4cd7ffff,89415cb4e3bffff,105.846,20.998,105.8417,21.0247,20,false,Sun,true,false,3002.3,4010.6,high,false,none,clear,937,1206,269
89414369647ffff,894143682c3ffff,105.7818,21.0379,105.7356,20.999,16,false,Thu,false,true,6458,7384.7,low,false,none,clear,553,1020,467
89415cb49afffff,89415cb4d47ffff,105.7898,21.0093,105.8175,21.0023,18,true,Mon,false,false,2978.9,4063.6,severe,false,none,cloudy,1567,2471,904
89415cb684bffff,89415cb4e43ffff,105.8558,20.9732,105.8522,21.0286,12,false,Thu,false,false,6171.5,6943.5,high,true,light,rain,1037,1701,664
89415cb5dc7ffff,89415cb4987ffff,105.8598,21.0422,105.7991,21.0055,16,false,Fri,false,false,7506.4,13443.3,medium,false,none,clear,1568,1512,-56
89415cb49afffff,89415cb46afffff,105.7898,21.0093,105.9035,21.0109,14,false,Sun,true,false,11803.7,17687,medium,false,none,clear,2410,2525,115
89415cb4d5bffff,89415cb4ba3ffff,105.8249,21.0049,105.8005,21.0288,20,false,Sun,true,false,3671.1,4669.1,low,false,none,cloudy,341,60,-281
894143682c3ffff,89415cb4193ffff,105.7356,20.999,105.868,20.9946,21,false,Wed,false,false,13753.4,23977.9,medium,false,none,clear,2805,2722,-83
89414369647ffff,89415ca640bffff,105.7818,21.0379,105.8127,21.0592,19,true,Sat,true,false,3986.5,5415.5,high,false,none,cloudy,810,1546,736
89415cb684bffff,89415cb4d5bffff,105.8558,20.9732,105.8249,21.0049,11,false,Tue,false,false,4766.1,6042,medium,false,none,clear,610,563,-47
89415cb4e3bffff,89415cb4b0fffff,105.8417,21.0247,105.8037,21.0372,19,true,Tue,false,true,4181.7,5109.7,medium,true,light,rain,516,913,397
89414369647ffff,89415cb4e43ffff,105.7828,21.0367,105.8522,21.0286,8,true,Sat,true,false,7258.9,11409.8,high,true,heavy,rain,2082,3257,1175
89415cb4d5bffff,894143682c3ffff,105.8249,21.0049,105.7356,20.999,12,false,Sat,true,false,9293.2,12386.9,low,false,none,cloudy,987,1047,60
89414369647ffff,89414369647ffff,105.7828,21.0367,105.7818,21.0379,9,false,Sat,true,false,169,192.4,low,false,none,clear,120,60,-60
89415cb687bffff,89414368657ffff,105.8467,20.9719,105.747,20.9881,6,false,Fri,false,false,10506.8,17512.1,low,false,none,clear,1625,1265,-360
89415cb4b0fffff,89415cb4193ffff,105.8037,21.0372,105.868,20.9946,13,false,Mon,false,false,8184.4,12835,medium,false,none,clear,1334,1443,109
89415cb687bffff,89415cb4cd7ffff,105.8467,20.9719,105.846,20.998,10,false,Sun,true,false,2903.1,3323.4,low,false,none,clear,284,196,-88
89415cb4193ffff,89414368657ffff,105.868,20.9946,105.747,20.9881,19,true,Tue,false,false,12582.4,14211,severe,true,light,rain,5461,6666,1205
89415cb4193ffff,89414369647ffff,105.868,20.9946,105.7828,21.0367,20,false,Thu,false,false,10006.2,16201.9,medium,true,heavy,storm,2225,2676,451
89415cb4987ffff,894143682c3ffff,105.7991,21.0055,105.7356,20.999,16,false,Sun,true,false,6631.3,8739.8,medium,false,none,clear,1025,859,-166
89415cb4b97ffff,89415cb4bc3ffff,105.8067,21.0238,105.814,21.0335,15,false,Mon,false,false,1318.1,1586.2,high,true,light,rain,265,936,671
